size_sq_ft,propertyType,bedrooms,localityName,price,price_per_sqft,location_avg_price
650,Independent Floor,2,mayur vihar phase 1,13500,20.76923076923077,19561.660079051384
600,Independent Floor,2,mayur vihar phase 1,12500,20.833333333333332,19561.660079051384
950,Independent Floor,2,mayur vihar phase 1,20000,21.05263157894737,19561.660079051384
500,Independent Floor,2,mayur vihar phase 1,14000,28.0,19561.660079051384
650,Independent Floor,2,mayur vihar phase 1,15000,23.076923076923077,19561.660079051384
800,Independent Floor,2,mayur vihar phase 1,20500,25.625,19561.660079051384
500,Independent Floor,2,mayur vihar phase 1,10500,21.0,19561.660079051384
450,Independent Floor,2,mayur vihar phase 1,9000,20.0,19561.660079051384
1000,Independent Floor,2,New Ashok Nagar,14000,14.0,12721.019108280254
650,Independent Floor,2,mayur vihar phase 1,12500,19.23076923076923,19561.660079051384
550,Independent Floor,2,mayur vihar phase 1,10000,18.181818181818183,19561.660079051384
1800,Apartment,3,Mayur Vihar II,35000,19.444444444444443,25710.0
670,Independent Floor,2,mayur vihar phase 1,14000,20.895522388059703,19561.660079051384
670,Independent Floor,2,mayur vihar phase 1,14000,20.895522388059703,19561.660079051384
1050,Independent Floor,3,mayur vihar phase 1,20000,19.047619047619047,19561.660079051384
1150,Apartment,3,Mayur Vihar II,20000,17.391304347826086,25710.0
1700,Apartment,3,Mayur Vihar II,30000,17.647058823529413,25710.0
1800,Apartment,3,Mayur Vihar II,33000,18.333333333333332,25710.0
2200,Apartment,4,Mayur Vihar II,45000,20.454545454545453,25710.0
800,Apartment,2,Mayur Vihar II,16000,20.0,25710.0
1100,Apartment,2,Mayur Vihar II,22000,20.0,25710.0
1250,Apartment,2,Mayur Vihar II,19000,15.2,25710.0
1200,Independent House,2,other,17000,14.166666666666666,61900.17677136596
750,Independent Floor,2,New Ashok Nagar,13000,17.333333333333332,12721.019108280254
1200,Independent House,2,laxmi nagar near metro station,14000,11.666666666666666,14540.513513513513
650,Independent Floor,2,New Ashok Nagar,11000,16.923076923076923,12721.019108280254
